category,keywords,response
Working Hours,"hours,working hours,open,opening time,office hours,when are you open","Our working hours are Monday to Friday, 9 AM to 5 PM."
Contact Information,"contact,phone,email,reach,contact information","You can contact our support team through the provided support channel."
Services,"services,service,offer,provide,offerings","We provide AI/ML, Web Development, Mobile App Development, Automation and Data Analytics services."
Pricing,"price,pricing,cost,fee,charges,how much","Our pricing depends on the service and project requirements. Please contact our support team for a detailed quotation."
Registration,"register,registration,sign up,signup,create account","You can register by providing the required information through our registration process."
Internship,"internship,intern,training,career,job opportunity","We offer internship opportunities for students and aspiring professionals in relevant technical fields."
Support,"support,help,problem,issue,technical problem","Our support team can assist you with technical issues and other service-related questions."
Location,"location,located,where,office,address","Our team operates online and serves clients remotely."
Payment Methods,"payment,pay,credit card,bank transfer,payment methods","Available payment methods depend on the service. Please contact support for available options."
Cancellation Policy,"cancel,cancellation,refund,cancel service","For cancellation and refund information, please contact our support team with your service details."
